"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
KOMPENSATION

Du kommer erhålla en bonus för varje stoppad inkräktare. En mindre bonus erhålls om du avfyrat mot, men missat, ditt mål.

__________________________
VAPENPROTOKOLL

Se instruktionsdiagram på följande sida."
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available."
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor."
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today."
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Your position is important and your responsibilities are broad.

Follow all protocols strictly."
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Continue to confiscate all Arstotzkan passports from native entrants."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Continue to confiscate all Arstotzkan passports from native entrants."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants."
"facts","$paper: Invalid $fact","$paper: Ogiltigt $fact"
"facts","Missing $paper","Saknande $paper"
"facts","$0 DISTRICT","$0 DISTRIKT"
"facts","Presence","Närvarande"
"facts","Sufficience","Tillräcklighet"
"facts","Excellence","Förträfflighet"
"facts","Obristan","Obristan"
"facts","Antegria","Antegria"
"facts","Republia","Republia"
"facts","UnitedFed","FörentaFed"
"facts","Impor","Impor"
"facts","Kolechia","Kolechia"
"facts","Arstotzka","Arstotzka"
"facts","Skal","Skal"
"facts","Lorndaz","Lorndaz"
"facts","Mergerous","Mergerous"
"facts","St. Marmero","St. Marmero"
"facts","Glorian","Glorian"
"facts","Outer Grouse","Yttre Grouse"
"facts","True Glorian","Sanna Glorian"
"facts","Lesrenadi","Lesrenadi"
"facts","Bostan","Bostan"
"facts","Great Rapid","Great Rapid"
"facts","Shingleton","Shingleton"
"facts","Korista City","Korista City"
"facts","Enkyo","Enkyo"
"facts","Haihan","Haihan"
"facts","Tsunkeido","Tsunkeido"
"facts","Yurko City","Yurko City"
"facts","Vedor","Vedor"
"facts","West Grestin","V. Grestin"
"facts","Orvech Vonor","Orvech Vonor"
"facts","East Grestin","Ö. Grestin"
"facts","Paradizna","Paradizna"
"facts","Passport","Pass"
"facts","Entry Ticket","Entrtébiljett"
"facts","Entry Permit","Inträdestillstånd"
"facts","Work Pass","Arbetstillstånd"
"facts","Id Card","ID-kort"
"facts","Id Supplement","ID-tillägg"
"facts","Access Permit","Tillträdestillstånd"
"facts","Diplomatic Auth","Diplomatisk behörighet"
"facts","Asylum Grant","Asylbeviljande"
"facts","Vaccine Cert","Vaccincertifikat"
"facts","Identity Record","Identitetsutdrag"
"facts","Fingerprints","Fingeravtryck"
"facts","Name","Namn"
"facts","Id Number","ID-nummer"
"facts","Expiration Date","Utgångsdatum"
"facts","Issuing City","Utfärdandeort"
"facts","Birth Date","Födelsedatum"
"facts","Alias","Alias"
"facts","Height","Längd"
"facts","Weight","Vikt"
"facts","Description","Beskrivning"
"facts","Thumbprint","Tumavtryck"
"facts","Date","Datum"
"facts","Purpose","Syfte"
"facts","Duration","Varaktighet"
"facts","Face","Ansikte"
"facts","District","Distrikt"
"facts","Gender","Kön"
"facts","Work End Date","Arbetes slutdatum"
"facts","Altan","Altan"
"facts","Vescillo","Vescillo"
"facts","Burnton","Burnton"
"facts","Octovalis","Octovalis"
"facts","Gennistora","Gennistora"
"facts","Lendiforma","Lendiforma"
"facts","Wozenfield","Wozenfield"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","TANDVÅRD"
"facts","HEALTH-CARE","SJUKVÅRD"
"facts","GENERAL-LABOR","ALLMÄNT ARBETE"
"facts","ENGINEERING","INGENJÖRSTEKNIK"
"facts","SPORTS","SPORT"
"facts","ARCHITECTURE","ARKITEKTUR"
"facts","FOOD-SERVICE","RESTURANG"
"facts","AVIATION","LUFTFART"
"facts","ACCOUNTING","BOKFÖRING"
"facts","FISHING","FISKE"
"facts","DRAFTING","INKALLELSE"
"facts","RESEARCH","FORSKNING"
"facts","FINE-ARTS","KONST"
"facts","AGRICULTURE","JORDBRUK"
"facts","MANUFACTURING","TILLVERKNING"
"facts","CONSTRUCTION","BYGGNAD"
"facts","SURVEYING","FÄLTMÄTNING"
"facts","STATISTICS","STATISTIK"
"facts","POLIO","POLIO"
"facts","HPV","HPV"
"facts","COWPOX","KOKOPPOR"
"facts","TETANUS","STELKRAMP"
"facts","YEL.FEV.","GUL.FEB."
"facts","CHOLERA","KOLERA"
"facts","RUBELLA","RÖD.HUND"
"facts","HEP-B","HEP-B"
"facts","MEASLES","MÄSSLING"
"facts","TUBERC.","TBC"
"facts","2 DAYS","2 DAGAR"
"facts","14 DAYS","14 DAGAR"
"facts","1 MONTH","1 MÅNAD"
"facts","2 MONTHS","2 MÅNADER"
"facts","3 MONTHS","3 MÅNADER"
"facts","6 MONTHS","6 MÅNADER"
"facts","1 YEAR","1 ÅR"
"facts","FOREVER","FÖR EVIGT"
"facts","visit","besöka"
"facts","transit","genomresa"
"facts","work","arbeta"
"facts","immigrate","invandra"
"facts","Possible Smuggler Admitted","Possible Smuggler Admitted"
"facts","Missing documents","Missing documents"
"facts","Wanted criminal admitted","Wanted criminal admitted"
"facts","Incorrect purpose response","Incorrect purpose response"
"facts","Incorrect visit duration response","Incorrect visit duration response"
"facts","Passport: Non-matching photo","Passport: Non-matching photo"
"facts","Forged Entry Permit","Forged Entry Permit"
"facts","Forged Work Pass","Forged Work Pass"
"facts","Id Card: Non-matching photo","Id Card: Non-matching photo"
"facts","Forged Access Permit","Forged Access Permit"
"facts","No Diplomatic Access to Arstotzka","No Diplomatic Access to Arstotzka"
"facts","Forged Diplomatic Auth","Forged Diplomatic Auth"
"facts","Forged Asylum Grant Seal","Forged Asylum Grant Seal"
"facts","Necessary vaccine expired","Necessary vaccine expired"
"facts","Missing necessary vaccine","Missing necessary vaccine"
"facts","Name does not match record","Name does not match record"
"facts","Alias does not match record","Alias does not match record"
"facts","Fingerprints do not match record","Fingerprints do not match record"
"facts","Cobrastan is not a real country","Cobrastan is not a real country"
"facts","No entry from Antegria","No entry from Antegria"
"facts","No entry from Arstotzka","No entry from Arstotzka"
"facts","No entry from Republia","No entry from Republia"
"facts","No entry from United Fed","No entry from United Fed"
"facts","No entry from Obristan","No entry from Obristan"
"facts","No entry from Impor","No entry from Impor"
"facts","No entry from Kolechia","No entry from Kolechia"
"facts","Possible Terrorist Admitted","Possible Terrorist Admitted"
"facts","Entrant Holds Conflicting Passports","Entrant Holds Conflicting Passports"
"facts","Entrant must have a passport","Entrant must have a passport"
"facts","Foreigners require an entry permit","Foreigners require an entry permit"
"facts","Foreigners require an entry ticket","Foreigners require an entry ticket"
"facts","All documents must be current","All documents must be current"
"facts","Workers must have a work pass","Workers must have a work pass"
"facts","Citizens must have an id card","Citizens must have an id card"
"facts","Foreigners require an id supplement","Foreigners require an id supplement"
"facts","Arstotzkan citizens only","Arstotzkan citizens only"
"facts","No entry from United Federation","No entry from United Federation"
"facts","No weapons or contraband","No weapons or contraband"
"facts","All Kolechians must be searched","All Kolechians must be searched"
"facts","Diplomats require authorization","Diplomats require authorization"
"facts","Entrant must have polio vaccine cert","Entrant must have polio vaccine cert"
"facts","Asylum seekers must have a grant","Asylum seekers must have a grant"
"facts","Foreigners require an access permit","Foreigners require an access permit"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS."
"facts","Passport not confiscated","Passport not confiscated"
"paper:SecondPassport","West Grestin","Västra Grestin"
"paper:Rules","Basic Rules","Grundregler"
"paper:Rules","Regional Map","Regional karta"
"paper:Rules","Booth Info","Båsinfo"
"paper:Rules","Documents","Dokument"
"paper:Rules","Confiscation","Konfiskering"
"paper:Rules","Obristan","Obristan"
"paper:Rules","Antegria","Antegria"
"paper:Rules","Republia","Republia"
"paper:Rules","United","Förenta"
"paper:Rules","Federation","Federationen"
"paper:Rules","Impor","Impor"
"paper:Rules","Kolechia","Kolechia"
"paper:Rules","Arstotzka","Arstotzka"
"paper:Rules","ANTEGRIA","ANTEGRIA"
"paper:Rules","ARSTOTZKA","ARSTOTZKA"
"paper:Rules","IMPOR","IMPOR"
"paper:Rules","KOLECHIA","KOLECHIA"
"paper:Rules","OBRISTAN","OBRISTAN"
"paper:Rules","REPUBLIA","REPUBLIA"
"paper:Rules","UNITED FED.","FÖRENTA FED."
"paper:Rules","Id Card (Native)","ID-kort (Inhemsk)"
"paper:Rules","Entry Permit","Inträdestillstånd"
"paper:Rules","Id Supplement","ID-tillägg"
"paper:Rules","Access Permit","Tillträdestillstånd"
"paper:Rules","Work Pass","Arbetstillstånd"
"paper:Rules","Diplomatic Auth.","Diplomatisk behörighet"
"paper:Rules","Grant of Asylum","Asylbeviljande"
"paper:Rules","Vaccine Cert.","Vaccincertifikat"
"intro","Congratulations.","Congratulations."
"intro","The October labor lottery is complete. Your name was pulled.","The October labor lottery is complete. Your name was pulled."
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling."
"intro","Glory to Arstotzka.","Glory to Arstotzka."
"end:in-debt","Arstotzka has zero tolerance for delinquency.","Arstotzka has zero tolerance for delinquency."
"end:in-debt","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:in-debt","You are under arrest until your debts are repaid.","You are under arrest until your debts are repaid."
"end:in-debt","A replacement inspector will be found easily.","A replacement inspector will be found easily."
"end:in-debt","Glory to Arstotzka.","Glory to Arstotzka."
"end:family-dead","Your entire family is gone.","Your entire family is gone."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","The Ministry Of Labor focuses on Arstotzka's future growth."
"end:family-dead","Workers are expected to support large healthy families.","Workers are expected to support large healthy families."
"end:family-dead","Your position will be filled by someone more appropriate.","Your position will be filled by someone more appropriate."
"end:family-dead","Glory to Arstotzka.","Glory to Arstotzka."
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","You are under arrest for associating with suspicious groups."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","The Ministry of Information will perform a full audit of your recent activities."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Glory to Arstotzka."
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","The Ministry of Income has discovered an anomaly in your earnings."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","You are under arrest pending a full audit of your recent activities."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Your family will likewise be held for questioning."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:caught-with-ezic-money","Glory to Arstotzka.","Glory to Arstotzka."
"end:killed-innocent","You are under arrest for the murder of an innocent.","You are under arrest for the murder of an innocent."
"end:killed-innocent","The penalty is death.","The penalty is death."
"end:killed-innocent","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:killed-innocent","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:killed-innocent","Glory to Arstotzka.","Glory to Arstotzka."
"end:tranqed-innocent","You are under arrest for attacking an innocent.","You are under arrest for attacking an innocent."
"end:tranqed-innocent","The penalty is forced labor.","The penalty is forced labor."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:tranqed-innocent","Glory to Arstotzka.","Glory to Arstotzka."
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","You are under arrest for the murder of an Arstotzkan official."
"end:killed-guard","The penalty is death.","The penalty is death."
"end:killed-guard","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:killed-guard","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:killed-guard","Glory to Arstotzka.","Glory to Arstotzka."
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","You are under arrest for attacking an Arstotzkan official."
"end:tranqed-guard","The penalty is death.","The penalty is death."
"end:tranqed-guard","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:tranqed-guard","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:tranqed-guard","Glory to Arstotzka.","Glory to Arstotzka."
"end:killed-target","You are under arrest for the murder of an innocent.","You are under arrest for the murder of an innocent."
"end:killed-target","The penalty is death.","The penalty is death."
"end:killed-target","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:killed-target","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:killed-target","Glory to Arstotzka.","Glory to Arstotzka."
"end:killed-target","[A note appears from under the cell door]","[A note appears from under the cell door]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK"
"end:tranqed-target","You are under arrest for attacking an innocent.","You are under arrest for attacking an innocent."
"end:tranqed-target","The penalty is forced labor.","The penalty is forced labor."
"end:tranqed-target","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:tranqed-target","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:tranqed-target","Glory to Arstotzka.","Glory to Arstotzka."
"end:tranqed-target","[A note appears from under the cell door]","[A note appears from under the cell door]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK"
"end:stuff-on-walls","You are under arrest for violating direct orders.","You are under arrest for violating direct orders."
"end:stuff-on-walls","The penalty is forced labor.","The penalty is forced labor."
"end:stuff-on-walls","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:stuff-on-walls","Glory to Arstotzka.","Glory to Arstotzka."
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Your supervisor has reported you for theft of Arstotzkan property."
"end:arrested-boss-buddy","The penalty is forced labor.","The penalty is forced labor."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:arrested-boss-buddy","Glory to Arstotzka.","Glory to Arstotzka."
"end:wall-destroyed","The Grestin Border wall has been destroyed.","The Grestin Border wall has been destroyed."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","You are under arrest for failure to defend the checkpoint."
"end:wall-destroyed","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:wall-destroyed","The border will reopen under a replacement inspector.","The border will reopen under a replacement inspector."
"end:wall-destroyed","Glory to Arstotzka.","Glory to Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Hello inspector."
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","We have audited your recent activities."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","Several members of this group have been arrested in Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","At least one EZIC member has confessed to receiving your help."
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","This represents treason of the highest order."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Goodbye inspector."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","The execution is scheduled for tonight."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","Your family's safety is unknown."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZIC has been crushed. The balance of justice is restored."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Glory to Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[A note appears from under the cell door]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","The border has been pierced."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","EZIC grows strong while the corrupt and greedy weaken."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","Your betrayal means you have chosen the wrong side."
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","There is no place for you or your family in this revolution."
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Goodbye inspector."
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Glory to the New Arstotzka."
"end:help-few-ezic","Hello inspector.","Hello inspector."
"end:help-few-ezic","We have audited your recent activities.","We have audited your recent activities."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","Several members of this group have been arrested in Arstotzka."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","At least one EZIC member has confessed to receiving your help."
"end:help-few-ezic","This represents treason of the highest order.","This represents treason of the highest order."
"end:help-few-ezic","Goodbye inspector.","Goodbye inspector."
"end:help-few-ezic","The execution is scheduled for tonight.","The execution is scheduled for tonight."
"end:help-few-ezic","Your family's safety is unknown.","Your family's safety is unknown."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZIC has been crushed. The balance of justice is restored."
"end:help-few-ezic","Glory to Arstotzka.","Glory to Arstotzka."
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","You board the late train to the Northern Territories. It is nearly empty."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","You pay for the hastily forged passport and re-entry ticket. They look terrible."
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","You pay for the hastily forged passports and re-entry tickets. They look terrible."
"end:escape","You reach the border crossing at dawn. The line is immense.","You reach the border crossing at dawn. The line is immense."
"end:escape","Six hours later.","Six hours later."
"end:escape","Your documents.","Your documents."
"end:escape","Here.","Here."
"end:escape","You are entering alone?","You are entering alone?"
"end:escape","Yes.","Yes."
"end:escape","I come to visit relatives.","I come to visit relatives."
"end:escape","No, my family as well.","No, my family as well."
"end:escape","Hand over all documents now.","Hand over all documents now."
"end:escape","We come to visit relatives.","We come to visit relatives."
"end:escape","I do not care why you come. Wait here.","I do not care why you come. Wait here."
"end:escape","*KACHUNK*","*KACHUNK*"
"end:escape","Welcome to Obristan. Next!","Welcome to Obristan. Next!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","Inspector! It is a glorious day!"
"end:help-ezic-hold-fire","The border has been pierced.","The border has been pierced."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","EZIC grows strong while the corrupt and greedy weaken."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","We are moving you and your family to a better home."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Your services as an inspector are no longer required. We need agents."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Follow us and together we will complete the revolution!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Glory to the New Arstotzka."
"end:ignore-ezic","Hello inspector.","Hello inspector."
"end:ignore-ezic","We have audited your activities for the past 20 years.","We have audited your activities for the past 20 years."
"end:ignore-ezic","There are some anomalies.","There are some anomalies."
"end:ignore-ezic","But you have served Arstotzka well.","But you have served Arstotzka well."
"end:ignore-ezic","We will overlook these small transgressions.","We will overlook these small transgressions."
"end:ignore-ezic","You have been cleared of any suspicion.","You have been cleared of any suspicion."
"end:ignore-ezic","Glory to Arstotzka.","Glory to Arstotzka."
"end:ignore-ezic","A new agreement has been reached with Kolechia.","A new agreement has been reached with Kolechia."
